spp,x,y
Astyanax fasciatus,-84.758762,10.060874
Astyanax fasciatus,-84.758762,10.060874
Astyanax fasciatus,-40.592322,-9.756837
Astyanax bimaculatus,-42.885096,-20.248904
Astyanax bimaculatus,-54.835721,-29.904987
Astyanax bimaculatus,-64.664646,-13.045864
Astyanax fasciatus,-40.227291,-10.381985
Astyanax fasciatus,-76.8833,0.0583
Astyanax fasciatus,-88.488751,17.018481
Astyanax fasciatus,-88.709491,17.149053
Astyanax fasciatus,-84.288789,9.969316
Astyanax fasciatus,-84.961982,10.210054
Astyanax fasciatus,-36.588155,-10.290511
Astyanax bimaculatus,-41.454757,-20.448456
Astyanax fasciatus,-75.967502,4.767196
Astyanax fasciatus,-84.846457,10.088035
Astyanax fasciatus,-84.846457,10.088035
Astyanax fasciatus,-57.096208,-29.749553
Astyanax fasciatus,-51.266605,-30.067211
Astyanax fasciatus,-77.353761,4.956889
Astyanax bimaculatus,-59.592409,4.352556
Astyanax fasciatus,-75.857553,4.70907
Astyanax fasciatus,-76.3539,-3.2789
Astyanax bimaculatus,-58.554029,5.980685
Astyanax fasciatus,-40.515149,-9.406149
Astyanax fasciatus,-57.802403,-18.974352
Astyanax fasciatus,-49.950601,-21.22858
Astyanax bimaculatus,-58.025413,6.788714
Astyanax bimaculatus,-74.5,-4.9167
Astyanax fasciatus,-88.81922,15.350186
Astyanax fasciatus,-88.709491,17.149053
Astyanax fasciatus,-88.405743,17.548893
Astyanax fasciatus,-54.835721,-29.904987
Astyanax fasciatus,-85.073448,10.351132
Astyanax fasciatus,-77.440802,8.146093
Astyanax bimaculatus,-58.034708,6.499547
Astyanax fasciatus,-76.2167,0.2083
Astyanax fasciatus,-88.805654,16.11606
Astyanax fasciatus,-44.996578,-12.138312
Astyanax fasciatus,-84.288789,9.969316
Astyanax bimaculatus,-36.588155,-10.290511
Astyanax fasciatus,-85.122674,10.472125
Astyanax fasciatus,-85.122674,10.472125
Astyanax fasciatus,-85.122674,10.472125
Astyanax fasciatus,-85.122674,10.472125
Astyanax fasciatus,-85.122674,10.472125
Astyanax bimaculatus,-58.025413,6.788714
Astyanax fasciatus,-85.136455,10.451228
Astyanax fasciatus,-44.240045,-21.121431
Astyanax fasciatus,-76.2853,-3.4714
Astyanax fasciatus,-55.165886,-33.909829
Astyanax fasciatus,-84.168003,9.451545
Astyanax bimaculatus,-74.5,-4.5833
Astyanax fasciatus,-87.880554,15.555717
Astyanax fasciatus,-83.317159,9.217226
Astyanax fasciatus,-76.9017,-0.4633
Astyanax fasciatus,-79.46085,9.100369
Astyanax fasciatus,-88.709491,17.149053
Astyanax fasciatus,-47.658138,-22.723555
Astyanax bimaculatus,-41.349469,-22.025145
Astyanax bimaculatus,-59.781347,8.343678
Astyanax bimaculatus,-41.317787,-21.753931
Astyanax bimaculatus,-48.105869,-24.519723
Astyanax fasciatus,-44.355681,-15.493341
Astyanax bimaculatus,-57.623074,3.458539
Astyanax bimaculatus,-57.623074,3.458539
Astyanax fasciatus,-88.320261,17.164873
Astyanax fasciatus,-87.993631,15.513046
Astyanax bimaculatus,-58.025413,6.788714
Astyanax bimaculatus,-40.5929,-11.424792
Astyanax bimaculatus,-74.75,-5.15
Astyanax fasciatus,-78.933666,9.105132
Astyanax fasciatus,-78.933666,9.105132
Astyanax bimaculatus,-72.686798,-12.866332
Astyanax bimaculatus,-46.935838,-22.371826
Astyanax fasciatus,-76.662999,5.692245
Astyanax fasciatus,-76.607617,5.372737
Astyanax fasciatus,-76.6367,-0.4417
Astyanax fasciatus,-79.116191,9.267286
Astyanax bimaculatus,-43.84109,-11.351935
Astyanax fasciatus,-77.396507,0.006841
Astyanax fasciatus,-54.329456,-33.612796
Astyanax fasciatus,-91.849766,14.499855
Astyanax bimaculatus,-44.524277,-11.007277
Astyanax bimaculatus,-39.630042,-10.972079
Astyanax fasciatus,-74.738477,5.197884
Astyanax fasciatus,-74.738477,5.197884
Astyanax fasciatus,-74.738477,5.197884
Astyanax fasciatus,-49.950601,-21.22858
Astyanax fasciatus,-58.467074,-33.659693
Astyanax fasciatus,-88.709491,17.149053
Astyanax fasciatus,-89.280412,13.858295
Astyanax fasciatus,-41.208553,-7.932164
Astyanax fasciatus,-90.570625,14.459659
Astyanax bimaculatus,-51.266605,-30.067211
Astyanax fasciatus,-43.145381,-11.096473
Astyanax fasciatus,-76.727466,5.181236
Astyanax fasciatus,-91.849766,14.499855
Astyanax fasciatus,-45.862431,-10.818664
Astyanax fasciatus,-76.6117,-0.38
Astyanax bimaculatus,-76.6117,-0.38
Astyanax bimaculatus,-74.748895,-11.002089
Astyanax fasciatus,-77.3,-0.3367
Astyanax fasciatus,-39.630042,-10.972079
Astyanax bimaculatus,-40.227291,-10.381985
Astyanax fasciatus,-57.507951,-19.019426
Astyanax fasciatus,-79.076552,9.173108
Astyanax bimaculatus,-35.167859,-6.116627
Astyanax fasciatus,-77.2083,-0.1
Astyanax fasciatus,-74.808386,4.286794
Astyanax fasciatus,-85.122674,10.472125
Astyanax fasciatus,-85.122674,10.472125
Astyanax bimaculatus,-44.66567,-10.258953
Astyanax bimaculatus,-74.5,-4.9167
Astyanax fasciatus,-77.3,-0.5
Astyanax bimaculatus,-47.663566,-22.725502
Astyanax fasciatus,-74.808386,4.286794
Astyanax bimaculatus,-44.231468,-19.464853
Astyanax bimaculatus,-44.99838,-12.144857
Astyanax bimaculatus,-41.208553,-7.932164
Astyanax bimaculatus,-55.53093,-20.482629
Astyanax bimaculatus,-51.248809,-30.03052
Astyanax fasciatus,-76.727466,5.181236
Astyanax bimaculatus,-59.580994,4.966496
Astyanax fasciatus,-88.673791,18.130126
Astyanax fasciatus,-76.2167,0.2083
Astyanax fasciatus,-56.482898,-34.946118
Astyanax fasciatus,-83.456453,8.957267
Astyanax fasciatus,-83.456453,8.957267
Astyanax fasciatus,-83.456453,8.957267
Astyanax fasciatus,-44.195502,-21.949331
Astyanax fasciatus,-74.911122,10.250207
Astyanax bimaculatus,-74.5,-5.0833
Astyanax fasciatus,-73.625516,4.157878
Astyanax fasciatus,-48.59149,-24.58643
Astyanax fasciatus,-89.51158,14.265257
Astyanax fasciatus,-54.250404,-33.258032
Astyanax fasciatus,-84.123618,9.453774
Astyanax fasciatus,-84.123618,9.453774
Astyanax fasciatus,-77.3967,-8.00E-04
Astyanax fasciatus,-77.3233,-0.4267
Astyanax fasciatus,-76.725253,2.516078
Astyanax fasciatus,-76.91,0.1167
Astyanax fasciatus,-47.416828,-20.065282
Astyanax fasciatus,-89.09404,15.252303
Astyanax fasciatus,-89.44331,13.81089
Astyanax bimaculatus,-47.426098,-20.011095
Astyanax fasciatus,-75.55,-0.7833
Astyanax bimaculatus,-43.827893,-22.466273
Astyanax fasciatus,-77.64077,8.033727
Astyanax fasciatus,-77.64077,8.033727
Astyanax fasciatus,-76.475649,3.453508
Astyanax fasciatus,-74.396741,6.487301
Astyanax bimaculatus,-74.8833,-5
Astyanax fasciatus,-76.718961,5.415467
Astyanax fasciatus,-76.662999,5.692245
Astyanax fasciatus,-76.662999,5.692245
Astyanax fasciatus,-76.662999,5.692245
Astyanax fasciatus,-77.6533,-1.0417
Astyanax bimaculatus,-41.051917,-21.636334
Astyanax fasciatus,-88.595549,17.610858
Astyanax fasciatus,-84.321576,9.959679
